epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
105,4553.2,0.59773,0.27932,0.00474,0.95284,0.93038,0.95382,0.87227,0.46747,0.38804,0.00405,0.0006272,0.0006272,0.0006272
106,4588.66,0.58435,0.27805,0.00486,0.94984,0.94304,0.95701,0.86625,0.46815,0.39877,0.00373,0.000614,0.000614,0.000614
107,4619.3,0.5871,0.28021,0.00487,0.96701,0.94304,0.96385,0.87693,0.47715,0.36658,0.00395,0.0006008,0.0006008,0.0006008
108,4652.11,0.58597,0.26846,0.00482,0.94862,0.96203,0.96682,0.90083,0.40505,0.35764,0.00331,0.0005876,0.0005876,0.0005876
109,4692.38,0.58296,0.26415,0.00472,0.94694,0.94937,0.96611,0.90148,0.40892,0.36286,0.0032,0.0005744,0.0005744,0.0005744
110,4728.28,0.58933,0.25907,0.0048,0.96767,0.94722,0.96287,0.8971,0.41374,0.34741,0.00332,0.0005612,0.0005612,0.0005612
111,4766.49,0.57482,0.26274,0.0046,0.94333,0.94821,0.96657,0.89091,0.42964,0.35512,0.00345,0.000548,0.000548,0.000548
112,4799.05,0.56796,0.25599,0.00472,0.93724,0.9557,0.96349,0.88778,0.44894,0.36295,0.00373,0.0005348,0.0005348,0.0005348
113,4829.25,0.57841,0.26121,0.00476,0.95389,0.94937,0.96233,0.88386,0.45268,0.35946,0.00357,0.0005216,0.0005216,0.0005216
114,4867.35,0.57485,0.25903,0.00486,0.96045,0.9221,0.96314,0.89542,0.42322,0.37144,0.00335,0.0005084,0.0005084,0.0005084
115,4909.04,0.5757,0.2647,0.00461,0.94307,0.94356,0.96396,0.88783,0.41253,0.36607,0.00337,0.0004952,0.0004952,0.0004952
116,4946.87,0.56881,0.26578,0.00447,0.96124,0.94171,0.96827,0.89711,0.42669,0.34343,0.00334,0.000482,0.000482,0.000482
