epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,11496.5,0.77443,0.5913,0.01029,0.68894,0.53047,0.52318,0.44569,0.76979,4.9906,0.01531,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,11769.1,0.77031,0.59537,0.01014,0.67697,0.53075,0.51982,0.44138,0.77875,5.04732,0.01509,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,11995,0.78359,0.59387,0.01043,0.62586,0.52616,0.51834,0.44357,0.78927,4.92082,0.01531,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,12250.8,0.7729,0.59269,0.01014,0.71289,0.52876,0.53106,0.45397,0.76348,4.96458,0.0147,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,12513.3,0.76397,0.57117,0.0101,0.68326,0.52958,0.53002,0.45466,0.75877,4.92012,0.01473,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,12744.6,0.77383,0.59138,0.01016,0.7066,0.54411,0.53422,0.45978,0.78032,4.84938,0.01528,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,12966.5,0.76154,0.59185,0.01011,0.69456,0.52412,0.53357,0.45996,0.76526,4.82074,0.01492,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,13161.2,0.75956,0.57146,0.01015,0.68174,0.54327,0.53217,0.46044,0.76858,4.83614,0.01525,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,13379.1,0.7628,0.5684,0.00997,0.70924,0.53414,0.5366,0.46298,0.76464,4.90896,0.01489,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,13572,0.75575,0.55282,0.00996,0.6827,0.54422,0.54456,0.46234,0.75791,4.89343,0.01472,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,13753.7,0.76647,0.5692,0.01017,0.70433,0.53323,0.53947,0.4655,0.75559,5.08173,0.01483,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,13984.5,0.75838,0.55488,0.00973,0.73675,0.5281,0.53742,0.46197,0.78594,5.05802,0.01624,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,14174.5,0.75601,0.56201,0.00989,0.73943,0.53665,0.53828,0.46478,0.77114,4.88454,0.0152,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,14402.8,0.75156,0.55033,0.01,0.71972,0.54479,0.53901,0.46719,0.74542,4.75923,0.01445,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,14617.3,0.75903,0.5667,0.00996,0.73825,0.53502,0.54503,0.46497,0.74405,4.79492,0.01435,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,14830.7,0.74124,0.54607,0.00972,0.78072,0.53094,0.55351,0.47142,0.76584,4.80229,0.01529,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,15082.5,0.75161,0.54446,0.00985,0.73336,0.54388,0.5446,0.46957,0.75159,5.10503,0.01465,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,15287.1,0.74035,0.52863,0.00994,0.74399,0.52974,0.53924,0.46731,0.75077,5.1238,0.01436,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,15513.6,0.75355,0.53544,0.00984,0.69116,0.55944,0.53688,0.46314,0.75499,4.97419,0.01457,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,15736.9,0.75229,0.53372,0.00987,0.77461,0.5257,0.53688,0.46092,0.75249,4.86191,0.01456,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,15922.4,0.74026,0.53728,0.00963,0.72484,0.53265,0.54149,0.46522,0.74382,4.77615,0.01419,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,16141.4,0.73288,0.52789,0.0096,0.70206,0.54246,0.54681,0.47238,0.73265,4.76932,0.01406,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,16335.6,0.74621,0.54412,0.00964,0.71535,0.54983,0.54599,0.47235,0.73173,4.82255,0.01418,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,16560.9,0.72666,0.51798,0.00946,0.77523,0.53453,0.55168,0.47197,0.74881,4.88924,0.01473,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,16755.2,0.72781,0.51649,0.00961,0.74818,0.54499,0.55595,0.47595,0.74737,4.87488,0.01468,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,16980.7,0.73757,0.5331,0.00949,0.7315,0.54078,0.55209,0.47948,0.74135,4.91768,0.01448,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,17181.6,0.73305,0.53435,0.0096,0.66346,0.56762,0.55219,0.47686,0.73601,4.88717,0.0143,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,17425,0.74024,0.53723,0.0098,0.74174,0.53802,0.54898,0.475,0.72952,4.89272,0.01409,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,17606.3,0.72999,0.52867,0.00973,0.68501,0.55431,0.54719,0.47583,0.7366,4.97551,0.01439,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,17850.3,0.73688,0.53997,0.00975,0.74503,0.54112,0.55514,0.48031,0.74493,4.98115,0.01463,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,18085.7,0.72106,0.51267,0.00943,0.72015,0.5458,0.55087,0.47879,0.73917,4.99208,0.01456,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,18300.8,0.73432,0.51035,0.00943,0.75327,0.53129,0.557,0.48499,0.72655,4.9145,0.01399,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,18518,0.72872,0.51864,0.00954,0.77985,0.53666,0.55344,0.48271,0.74527,4.92561,0.01468,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,18745.6,0.73407,0.51797,0.00958,0.81646,0.52891,0.55512,0.48494,0.74724,4.95039,0.01485,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,18975.7,0.72695,0.52431,0.0095,0.78339,0.53462,0.55305,0.48151,0.75054,4.83585,0.01512,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,19174.4,0.73521,0.52395,0.00941,0.72566,0.55238,0.55138,0.47875,0.75232,4.86713,0.01536,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,19409.8,0.72122,0.50754,0.0094,0.72369,0.55604,0.55567,0.48437,0.75582,4.86991,0.01554,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,19640.1,0.73252,0.5153,0.00951,0.77005,0.52844,0.55639,0.48304,0.75477,4.86641,0.0154,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,19859.9,0.73045,0.5138,0.00943,0.76266,0.54216,0.55688,0.4808,0.76125,4.86959,0.01538,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,20061.9,0.72217,0.51289,0.00935,0.76915,0.53907,0.55398,0.47961,0.76156,4.88237,0.01538,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,20289.7,0.71759,0.50215,0.00937,0.7825,0.536,0.55843,0.48255,0.76011,4.89589,0.01524,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,20510.8,0.72535,0.50594,0.00942,0.76762,0.53804,0.55352,0.48135,0.74468,4.86227,0.01481,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,20693.3,0.72597,0.50028,0.00944,0.74501,0.5552,0.55726,0.48307,0.73424,4.85078,0.01431,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,20883.3,0.7158,0.48849,0.00928,0.71302,0.57127,0.5599,0.48667,0.72871,4.86777,0.01411,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,21066.2,0.71254,0.49243,0.0094,0.72568,0.56715,0.56317,0.48854,0.72897,4.88165,0.01417,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,21298.9,0.71291,0.49431,0.00917,0.72923,0.57618,0.56259,0.48966,0.72695,4.8996,0.01409,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,21529.9,0.70741,0.49765,0.00942,0.72441,0.57061,0.56273,0.48869,0.72762,4.94618,0.01413,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,21749.6,0.7077,0.48376,0.00913,0.72903,0.57045,0.56512,0.48832,0.72776,4.96004,0.0141,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,21921.2,0.71096,0.48928,0.00919,0.74412,0.57288,0.5701,0.49154,0.72956,4.94272,0.01413,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,22161.9,0.70922,0.50199,0.00932,0.76761,0.54784,0.56901,0.49254,0.73197,4.92737,0.01418,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,22389.9,0.71643,0.48077,0.00933,0.77389,0.54732,0.56704,0.49152,0.72919,4.93116,0.01413,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,22601,0.7093,0.4761,0.00909,0.75541,0.55492,0.56632,0.49118,0.72959,4.93495,0.01417,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,22792.1,0.70017,0.47542,0.00894,0.77475,0.55473,0.57032,0.49152,0.7305,4.92749,0.01417,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,22994.1,0.70612,0.47788,0.00913,0.77855,0.55199,0.57046,0.49251,0.72964,4.93058,0.01414,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,23227.6,0.70196,0.46723,0.00908,0.76744,0.56154,0.57194,0.49356,0.72837,4.90368,0.01406,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,23421,0.7005,0.47828,0.00912,0.76808,0.55697,0.5708,0.49282,0.72912,4.87706,0.01403,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,23622.3,0.69973,0.46795,0.00899,0.76352,0.55824,0.57226,0.49338,0.72711,4.86536,0.01399,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,23862.2,0.70076,0.46642,0.00889,0.75398,0.56331,0.57191,0.49141,0.72903,4.8454,0.01399,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,24077.2,0.68872,0.46493,0.00891,0.75169,0.56671,0.57297,0.4919,0.7266,4.85024,0.01392,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,24277.1,0.68113,0.46184,0.00883,0.75143,0.56906,0.57205,0.49016,0.72601,4.86497,0.01392,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,24490.4,0.69358,0.47143,0.00886,0.77196,0.57432,0.57451,0.49242,0.72383,4.87417,0.01393,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,24699.3,0.68801,0.46947,0.00876,0.76971,0.56853,0.57236,0.49108,0.72164,4.88505,0.01385,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,24911.9,0.69239,0.46896,0.00892,0.75278,0.57308,0.5741,0.49268,0.71886,4.90599,0.0138,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,25140.5,0.69427,0.47605,0.00882,0.7492,0.57088,0.57162,0.49166,0.71902,4.91624,0.01382,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,25337.4,0.69025,0.46505,0.00879,0.75226,0.56992,0.57138,0.49228,0.7207,4.9162,0.01384,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,25517.2,0.68423,0.45498,0.00885,0.74891,0.56896,0.57027,0.49122,0.72079,4.91914,0.01383,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,25720.7,0.68275,0.45217,0.00884,0.73931,0.57336,0.56932,0.48997,0.72287,4.922,0.01386,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,25973.3,0.68582,0.46472,0.00867,0.75183,0.5721,0.56961,0.49016,0.72628,4.91441,0.01393,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,26200.9,0.68368,0.45873,0.00863,0.73557,0.57249,0.57031,0.48958,0.72774,4.91835,0.014,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,26385.1,0.6737,0.45555,0.00861,0.74162,0.57027,0.57206,0.49204,0.72952,4.91669,0.01406,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,26597.2,0.6748,0.44901,0.00857,0.7615,0.56745,0.57727,0.49566,0.72913,4.92248,0.01405,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,26800.3,0.67386,0.44683,0.00862,0.7435,0.57769,0.57652,0.49446,0.72874,4.9307,0.01404,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,26980.6,0.67451,0.44087,0.00863,0.76526,0.57769,0.57579,0.49391,0.72851,4.93588,0.01401,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,27199.6,0.66966,0.45456,0.00865,0.76987,0.57932,0.57621,0.49361,0.72924,4.93376,0.01405,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,27451.1,0.67593,0.4486,0.0086,0.77688,0.57367,0.57826,0.49516,0.73041,4.93467,0.01407,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,27688.5,0.67544,0.43701,0.00849,0.76614,0.57899,0.57718,0.49427,0.73141,4.93837,0.01407,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,27876.8,0.67493,0.44746,0.00861,0.76237,0.57841,0.57833,0.4952,0.73138,4.93664,0.0141,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,28078.1,0.6726,0.44689,0.00859,0.75677,0.57543,0.57844,0.49574,0.73427,4.94103,0.01413,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,28300.8,0.65161,0.43824,0.00837,0.79011,0.55371,0.57796,0.49618,0.73464,4.9403,0.01413,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,28507.1,0.67001,0.44891,0.00848,0.77597,0.56302,0.57836,0.49606,0.73422,4.941,0.01412,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,28729.5,0.66351,0.43661,0.00854,0.76303,0.56303,0.5767,0.49635,0.73561,4.93204,0.01419,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,28943,0.66427,0.44065,0.00851,0.79894,0.55355,0.57684,0.49667,0.73541,4.92597,0.01418,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,29128.9,0.65136,0.42481,0.00846,0.79335,0.55479,0.57772,0.49704,0.73509,4.92921,0.01415,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,29335.1,0.66125,0.42214,0.00845,0.79074,0.55499,0.57631,0.49613,0.7359,4.93162,0.0142,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,29567.4,0.65968,0.42803,0.00849,0.78254,0.55591,0.5754,0.49445,0.73419,4.93839,0.01411,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,29828.4,0.64758,0.41843,0.00838,0.78241,0.55495,0.57495,0.49469,0.73512,4.93129,0.01414,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
135,30042.7,0.6461,0.42626,0.00844,0.78888,0.55534,0.57405,0.4937,0.73429,4.93268,0.01412,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
136,30252.9,0.65879,0.41919,0.0084,0.7771,0.55495,0.57316,0.49303,0.73449,4.92532,0.01412,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
137,30510,0.6597,0.43674,0.00834,0.79481,0.55594,0.57391,0.49276,0.73498,4.92112,0.01413,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
138,30741.4,0.65372,0.42796,0.00849,0.77791,0.56144,0.57453,0.49308,0.73642,4.91849,0.01418,0.016437,0.005479,0.016437,0.005479,0.016437,0.005479,0.016437,0.005479
139,30950.1,0.64046,0.41546,0.00823,0.75866,0.56543,0.57538,0.49368,0.736,4.92443,0.01417,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
