epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,6547.4,0.61802,0.28085,0.00923,0.94487,0.95913,0.97384,0.77188,0.84817,0.35812,0.02127,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,6680.58,0.61844,0.29774,0.00931,0.93842,0.95507,0.96997,0.75044,0.90203,0.41154,0.02356,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,6806.02,0.61065,0.28743,0.00938,0.94015,0.95095,0.96742,0.77493,0.8268,0.37588,0.02038,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,6932.14,0.61939,0.29252,0.00928,0.94559,0.96185,0.97182,0.76909,0.83354,0.36457,0.0214,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,7112.35,0.62145,0.29838,0.0096,0.93391,0.95368,0.9676,0.77001,0.80488,0.39768,0.01906,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,7233.52,0.61962,0.2828,0.00965,0.94744,0.96185,0.97321,0.76159,0.9008,0.37474,0.02358,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,7354.62,0.61422,0.28456,0.00945,0.94541,0.94376,0.97159,0.7779,0.80498,0.39413,0.01912,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,7476.11,0.5991,0.27992,0.00919,0.95914,0.95953,0.97794,0.77526,0.85194,0.36161,0.0215,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,7597.5,0.60483,0.27753,0.00924,0.9559,0.95913,0.97514,0.75926,0.93316,0.39175,0.02453,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,7719.03,0.61135,0.28836,0.00926,0.95892,0.95398,0.9752,0.76576,0.90346,0.39091,0.02426,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,7840.34,0.60156,0.27214,0.00929,0.94417,0.96778,0.97497,0.77225,0.84496,0.36908,0.02145,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,7961.62,0.59822,0.2793,0.009,0.94026,0.95913,0.97403,0.76252,0.87209,0.3557,0.02309,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,8082.96,0.59886,0.2717,0.00903,0.95984,0.94005,0.96983,0.76711,0.87346,0.38187,0.02236,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,8204.31,0.59078,0.27209,0.00895,0.95898,0.95547,0.97453,0.76228,0.86368,0.37548,0.02176,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,8325.6,0.60055,0.28521,0.00906,0.93621,0.97003,0.97288,0.76854,0.84848,0.37416,0.02121,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,8446.86,0.58871,0.27033,0.00909,0.94293,0.96185,0.97622,0.7668,0.89908,0.36564,0.0236,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,8670.92,0.58819,0.26986,0.0088,0.94341,0.97003,0.97153,0.76389,0.88201,0.37715,0.0227,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,8807.06,0.59578,0.27912,0.00884,0.94859,0.96458,0.97544,0.77131,0.86568,0.3611,0.02244,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,8965.18,0.5787,0.28081,0.0086,0.95357,0.95127,0.97396,0.76626,0.87443,0.38269,0.02289,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,129.977,0.56532,0.25599,0.00855,0.95454,0.97269,0.97554,0.77555,0.84045,0.35031,0.02143,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,251.367,0.57244,0.26489,0.00857,0.94763,0.96458,0.96477,0.77142,0.833,0.37317,0.02115,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,371.711,0.57833,0.27024,0.00864,0.93318,0.95127,0.96876,0.75951,0.87329,0.40154,0.02207,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,492.03,0.57802,0.26529,0.00872,0.95612,0.94995,0.9737,0.76615,0.86505,0.37485,0.02242,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
